texture=?,root=?,color=?,surface=?,sound=?,umbilicus=?
-0.1883,0.0401,-0.2006,-0.0093,-0.0432,0.0123
0.1698,0.0370,0.4259,0.0278,-0.0247,-0.0247
0.1512,0.0370,0.4259,0.0278,-0.0432,0.0123
0.1512,0.0370,0.4259,0.0278,-0.0432,0.0123
0.1327,0.0370,0.4259,0.0278,0.0494,-0.0617
0.0031,0.0370,0.4259,0.0278,0.0864,0.0309
0.0031,0.0370,0.4259,0.0278,0.0864,0.0309
0.1698,0.0370,0.4259,0.0278,-0.0247,-0.0247
0.1512,0.0370,0.4259,0.0278,-0.0432,0.0123
0.1512,0.0370,0.4259,0.0278,-0.0432,0.0123
0.2747,0.0123,0.4012,-0.0278,-0.0247,-0.0247
0.2562,0.0123,0.4012,-0.0278,-0.0432,0.0123
0.2562,0.0123,0.4012,-0.0278,-0.0432,0.0123
0.2377,0.0123,0.4012,-0.0278,0.0494,-0.0617
0.1080,0.0123,0.4012,-0.0278,0.0864,0.0309
0.1080,0.0123,0.4012,-0.0278,0.0864,0.0309
0.2747,0.0123,0.4012,-0.0278,-0.0247,-0.0247
0.2562,0.0123,0.4012,-0.0278,-0.0432,0.0123
0.2562,0.0123,0.4012,-0.0278,-0.0432,0.0123
-0.1821,0.0463,-0.2130,0.0093,-0.0247,-0.0247
-0.2006,0.0463,-0.2130,0.0093,-0.0432,0.0123
-0.2006,0.0463,-0.2130,0.0093,-0.0432,0.0123
-0.2191,0.0463,-0.2130,0.0093,0.0494,-0.0617
